Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
italian-roast-1,,,,,,,,,Espresso,,,2 LB,,,,,CVARITALIAN ROAST-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,30.10,
italian-roast-1,,,,,,,,,Espresso,,,5 LB,,,,,CVARITALIAN ROAST-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,64.00,
italian-roast-1,,,,,,,,,Standard,,,12oz,,,,,CVARITALIAN ROAST-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.65,
italian-roast-1,,,,,,,,,Standard,,,1 LB,,,,,CVARITALIAN ROAST-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.53,
italian-roast-1,,,,,,,,,Standard,,,2 LB,,,,,CVARITALIAN ROAST-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,30.10,
italian-roast-1,,,,,,,,,Standard,,,5 LB,,,,,CVARITALIAN ROAST-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,64.00,
italian-roast-1,,,,,,,,,Whole Bean,,,12oz,,,,,CVARITALIAN ROAST-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,16.65,
italian-roast-1,,,,,,,,,Whole Bean,,,1 LB,,,,,CVARITALIAN ROAST-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,19.53,
italian-roast-1,,,,,,,,,Whole Bean,,,2 LB,,,,,CVARITALIAN ROAST-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,30.10,
italian-roast-1,,,,,,,,,Whole Bean,,,5 LB,,,,,CVARITALIAN ROAST-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,64.00,
holiday-blend,Holiday Blend,"Festive holiday blend from Brazil, Peru and India",Mangy Dog Coffee,,"",blend,true,Grind,Coarse,,Size,12oz,,,,,TVARHOLIDAY BLEND-CO-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/label2_on_bag_03f58e76-d513-4327-b8ff-03c6b880aa17.jpg?v=1762966274,1,"",false,,,,oz,,15.50,active
holiday-blend,,,,,,,,,Coarse,,,1 LB,,,,,TVARHOLIDAY BLEND-CO-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,20.25,
holiday-blend,,,,,,,,,Coarse,,,2 LB,,,,,TVARHOLIDAY BLEND-CO-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,35.00,
holiday-blend,,,,,,,,,Coarse,,,5 LB,,,,,TVARHOLIDAY BLEND-CO-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,67.50,
holiday-blend,,,,,,,,,Coarse,,,12 LB,,,,,TVARHOLIDAY BLEND-CO-NA-12LB,3401.942775,dripshipper,deny,dripshipper,189.99,,true,true,,,,,,,,,,,,,oz,,135.00,
holiday-blend,,,,,,,,,Espresso,,,12oz,,,,,VARHOLIDAY BLEND-ES-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,15.50,
holiday-blend,,,,,,,,,Espresso,,,1 LB,,,,,VARHOLIDAY BLEND-ES-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,20.25,
holiday-blend,,,,,,,,,Espresso,,,2 LB,,,,,VARHOLIDAY BLEND-ES-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,35.00,
holiday-blend,,,,,,,,,Espresso,,,5 LB,,,,,VARHOLIDAY BLEND-ES-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,67.50,
holiday-blend,,,,,,,,,Standard,,,12oz,,,,,VARHOLIDAY BLEND-ST-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,15.50,
holiday-blend,,,,,,,,,Standard,,,1 LB,,,,,VARHOLIDAY BLEND-ST-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,20.25,
holiday-blend,,,,,,,,,Standard,,,2 LB,,,,,VARHOLIDAY BLEND-ST-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,35.00,
holiday-blend,,,,,,,,,Standard,,,5 LB,,,,,VARHOLIDAY BLEND-ST-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,67.50,
holiday-blend,,,,,,,,,Whole Bean,,,12oz,,,,,VARHOLIDAY BLEND-WH-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,,,,,,,,oz,,15.50,
holiday-blend,,,,,,,,,Whole Bean,,,1 LB,,,,,VARHOLIDAY BLEND-WH-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,20.25,
holiday-blend,,,,,,,,,Whole Bean,,,2 LB,,,,,VARHOLIDAY BLEND-WH-NA-2LB,1020.5828325,dripshipper,deny,dripshipper,49.99,,true,true,,,,,,,,,,,,,oz,,35.00,
holiday-blend,,,,,,,,,Whole Bean,,,5 LB,,,,,VARHOLIDAY BLEND-WH-NA-5LB,2721.55422,dripshipper,deny,dripshipper,89.99,,true,true,,,,,,,,,,,,,oz,,67.50,
cold-brew-coffee-1,Cold Brew Coffee,"Medium Smooth chocolate, toffee and floral tones. Great for cold brew or nitro.",Mangy Dog Coffee,,"",blend,true,Grind,Coarse,,Size,12oz,,,,,TVARCOLD BREW COFFEE-CO-NA-12OZ,396.89332375,dripshipper,deny,dripshipper,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0687/4116/9339/files/label2_on_bag_01ceb848-4e91-4ccb-bdcc-cb5a9c742df1.jpg?v=1762966279,1,"",false,,,,oz,,15.95,active
cold-brew-coffee-1,,,,,,,,,Coarse,,,1 LB,,,,,TVARCOLD BREW COFFEE-CO-NA-1LB,510.29141625,dripshipper,deny,dripshipper,28.99,,true,true,,,,,,,,,,,,,oz,,20.50,
